Rating	Rank	Name	Year	Weight	URL
BEST	6	Twilight Imperium: Fourth Edition	2017	4.26/5.00	https://boardgamegeek.com/boardgame/233078
RECOMMENDED	25	Viticulture Essential Edition	2015	2.89/5.00	https://boardgamegeek.com/boardgame/183394
BEST	32	Eclipse: Second Dawn for the Galaxy	2020	3.57/5.00	https://boardgamegeek.com/boardgame/246900
RECOMMENDED	49	Power Grid	2004	3.27/5.00	https://boardgamegeek.com/boardgame/2651
BEST	62	Eclipse	2011	3.70/5.00	https://boardgamegeek.com/boardgame/72125
RECOMMENDED	75	7 Wonders	2010	2.32/5.00	https://boardgamegeek.com/boardgame/68448
RECOMMENDED	78	Dominant Species	2010	4.04/5.00	https://boardgamegeek.com/boardgame/62219
RECOMMENDED	82	Keyflower	2012	3.34/5.00	https://boardgamegeek.com/boardgame/122515
RECOMMENDED	85	Battlestar Galactica: The Board Game	2008	3.25/5.00	https://boardgamegeek.com/boardgame/37111
BEST	87	Twilight Imperium: Third Edition	2005	4.25/5.00	https://boardgamegeek.com/boardgame/12493
BEST	101	Decrypto	2018	1.79/5.00	https://boardgamegeek.com/boardgame/225694
BEST	104	Codenames	2015	1.28/5.00	https://boardgamegeek.com/boardgame/178900
RECOMMENDED	110	Cartographers	2019	1.89/5.00	https://boardgamegeek.com/boardgame/263918
RECOMMENDED	126	Age of Steam	2002	3.90/5.00	https://boardgamegeek.com/boardgame/4098
RECOMMENDED	138	Welcome To...	2018	1.82/5.00	https://boardgamegeek.com/boardgame/233867
BEST	146	Just One	2018	1.04/5.00	https://boardgamegeek.com/boardgame/254640
RECOMMENDED	153	Concordia Venus	2018	3.06/5.00	https://boardgamegeek.com/boardgame/256916
RECOMMENDED	154	The Resistance: Avalon	2012	1.76/5.00	https://boardgamegeek.com/boardgame/128882
BEST	156	Railways of the World	2005	3.02/5.00	https://boardgamegeek.com/boardgame/17133
BEST	165	A Game of Thrones: The Board Game (Second Edition)	2011	3.72/5.00	https://boardgamegeek.com/boardgame/103343
RECOMMENDED	177	Captain Sonar	2016	2.17/5.00	https://boardgamegeek.com/boardgame/171131
