Rating	Rank	Name	Year	Weight	URL
BEST	1	Gloomhaven	2017	3.87/5.00	https://boardgamegeek.com/boardgame/174430
RECOMMENDED	2	Pandemic Legacy: Season 1	2015	2.83/5.00	https://boardgamegeek.com/boardgame/161936
BEST	3	Brass: Birmingham	2018	3.90/5.00	https://boardgamegeek.com/boardgame/224517
BEST	4	Terraforming Mars	2016	3.25/5.00	https://boardgamegeek.com/boardgame/167791
RECOMMENDED	5	Gloomhaven: Jaws of the Lion	2020	3.58/5.00	https://boardgamegeek.com/boardgame/291457
RECOMMENDED	6	Twilight Imperium: Fourth Edition	2017	4.26/5.00	https://boardgamegeek.com/boardgame/233078
BEST	7	Gaia Project	2017	4.37/5.00	https://boardgamegeek.com/boardgame/220308
RECOMMENDED	9	Spirit Island	2017	4.04/5.00	https://boardgamegeek.com/boardgame/162886
BEST	10	Through the Ages: A New Story of Civilization	2015	4.41/5.00	https://boardgamegeek.com/boardgame/182028
BEST	12	Great Western Trail	2016	3.71/5.00	https://boardgamegeek.com/boardgame/193738
RECOMMENDED	14	Scythe	2016	3.43/5.00	https://boardgamegeek.com/boardgame/169786
BEST	15	Dune: Imperium	2020	2.98/5.00	https://boardgamegeek.com/boardgame/316554
RECOMMENDED	16	The Castles of Burgundy	2011	3.00/5.00	https://boardgamegeek.com/boardgame/84876
RECOMMENDED	17	Nemesis	2018	3.40/5.00	https://boardgamegeek.com/boardgame/167355
RECOMMENDED	19	Concordia	2013	3.01/5.00	https://boardgamegeek.com/boardgame/124361
RECOMMENDED	20	Brass: Lancashire	2007	3.86/5.00	https://boardgamegeek.com/boardgame/28720
RECOMMENDED	21	Terra Mystica	2012	3.97/5.00	https://boardgamegeek.com/boardgame/120677
BEST	22	A Feast for Odin	2016	3.85/5.00	https://boardgamegeek.com/boardgame/177736
BEST	23	Wingspan	2019	2.44/5.00	https://boardgamegeek.com/boardgame/266192
RECOMMENDED	24	Arkham Horror: The Card Game	2016	3.49/5.00	https://boardgamegeek.com/boardgame/205637
BEST	25	Viticulture Essential Edition	2015	2.89/5.00	https://boardgamegeek.com/boardgame/183394
RECOMMENDED	26	Root	2018	3.72/5.00	https://boardgamegeek.com/boardgame/237182
BEST	27	Everdell	2018	2.81/5.00	https://boardgamegeek.com/boardgame/199792
RECOMMENDED	28	Orléans	2014	3.04/5.00	https://boardgamegeek.com/boardgame/164928
RECOMMENDED	29	Mage Knight Board Game	2011	4.33/5.00	https://boardgamegeek.com/boardgame/96848
RECOMMENDED	30	Clank!: Legacy – Acquisitions Incorporated	2019	2.69/5.00	https://boardgamegeek.com/boardgame/266507
BEST	31	Lost Ruins of Arnak	2020	2.87/5.00	https://boardgamegeek.com/boardgame/312484
RECOMMENDED	32	Eclipse: Second Dawn for the Galaxy	2020	3.57/5.00	https://boardgamegeek.com/boardgame/246900
BEST	33	Food Chain Magnate	2015	4.20/5.00	https://boardgamegeek.com/boardgame/175914
RECOMMENDED	34	Puerto Rico	2002	3.28/5.00	https://boardgamegeek.com/boardgame/3076
RECOMMENDED	35	Caverna: The Cave Farmers	2013	3.79/5.00	https://boardgamegeek.com/boardgame/102794
RECOMMENDED	36	Blood Rage	2015	2.88/5.00	https://boardgamegeek.com/boardgame/170216
RECOMMENDED	37	Marvel Champions: The Card Game	2019	2.87/5.00	https://boardgamegeek.com/boardgame/285774
BEST	38	Too Many Bones	2017	3.85/5.00	https://boardgamegeek.com/boardgame/192135
BEST	39	Agricola	2007	3.64/5.00	https://boardgamegeek.com/boardgame/31260
RECOMMENDED	40	Barrage	2019	4.06/5.00	https://boardgamegeek.com/boardgame/251247
BEST	41	Maracaibo	2019	3.89/5.00	https://boardgamegeek.com/boardgame/276025
RECOMMENDED	42	Pandemic Legacy: Season 2	2017	3.24/5.00	https://boardgamegeek.com/boardgame/221107
BEST	43	Mansions of Madness: Second Edition	2016	2.67/5.00	https://boardgamegeek.com/boardgame/205059
RECOMMENDED	44	Underwater Cities	2018	3.60/5.00	https://boardgamegeek.com/boardgame/247763
RECOMMENDED	45	The Crew: The Quest for Planet Nine	2019	1.98/5.00	https://boardgamegeek.com/boardgame/284083
RECOMMENDED	46	Pax Pamir: Second Edition	2019	3.82/5.00	https://boardgamegeek.com/boardgame/256960
BEST	47	Anachrony	2017	4.01/5.00	https://boardgamegeek.com/boardgame/185343
RECOMMENDED	48	Tzolk'in: The Mayan Calendar	2012	3.67/5.00	https://boardgamegeek.com/boardgame/126163
RECOMMENDED	49	Power Grid	2004	3.27/5.00	https://boardgamegeek.com/boardgame/2651
RECOMMENDED	50	Kingdom Death: Monster	2015	4.26/5.00	https://boardgamegeek.com/boardgame/55690
RECOMMENDED	51	Clans of Caledonia	2017	3.46/5.00	https://boardgamegeek.com/boardgame/216132
RECOMMENDED	52	Star Wars: Imperial Assault	2014	3.30/5.00	https://boardgamegeek.com/boardgame/164153
RECOMMENDED	53	Mechs vs. Minions	2016	2.42/5.00	https://boardgamegeek.com/boardgame/209010
BEST	54	On Mars	2020	4.65/5.00	https://boardgamegeek.com/boardgame/184267
BEST	55	Le Havre	2008	3.73/5.00	https://boardgamegeek.com/boardgame/35677
RECOMMENDED	57	The Quacks of Quedlinburg	2018	1.95/5.00	https://boardgamegeek.com/boardgame/244521
BEST	58	The Gallerist	2015	4.26/5.00	https://boardgamegeek.com/boardgame/125153
BEST	59	Lisboa	2017	4.57/5.00	https://boardgamegeek.com/boardgame/161533
RECOMMENDED	61	Azul	2017	1.76/5.00	https://boardgamegeek.com/boardgame/230802
RECOMMENDED	62	Eclipse	2011	3.70/5.00	https://boardgamegeek.com/boardgame/72125
BEST	63	Through the Ages: A Story of Civilization	2006	4.18/5.00	https://boardgamegeek.com/boardgame/25613
RECOMMENDED	65	Aeon's End	2016	2.78/5.00	https://boardgamegeek.com/boardgame/191189
RECOMMENDED	66	Paladins of the West Kingdom	2019	3.70/5.00	https://boardgamegeek.com/boardgame/266810
RECOMMENDED	67	Race for the Galaxy	2007	2.99/5.00	https://boardgamegeek.com/boardgame/28143
BEST	68	Clank!: A Deck-Building Adventure	2016	2.22/5.00	https://boardgamegeek.com/boardgame/201808
RECOMMENDED	70	Robinson Crusoe: Adventures on the Cursed Island	2012	3.80/5.00	https://boardgamegeek.com/boardgame/121921
RECOMMENDED	71	Pandemic Legacy: Season 0	2020	3.03/5.00	https://boardgamegeek.com/boardgame/314040
RECOMMENDED	72	Teotihuacan: City of Gods	2018	3.77/5.00	https://boardgamegeek.com/boardgame/229853
RECOMMENDED	73	The Voyages of Marco Polo	2015	3.18/5.00	https://boardgamegeek.com/boardgame/171623
RECOMMENDED	74	Five Tribes	2014	2.85/5.00	https://boardgamegeek.com/boardgame/157354
RECOMMENDED	75	7 Wonders	2010	2.32/5.00	https://boardgamegeek.com/boardgame/68448
RECOMMENDED	76	Agricola (Revised Edition)	2016	3.50/5.00	https://boardgamegeek.com/boardgame/200680
BEST	77	Lords of Waterdeep	2012	2.46/5.00	https://boardgamegeek.com/boardgame/110327
RECOMMENDED	78	Dominant Species	2010	4.04/5.00	https://boardgamegeek.com/boardgame/62219
RECOMMENDED	79	Grand Austria Hotel	2015	3.23/5.00	https://boardgamegeek.com/boardgame/182874
RECOMMENDED	80	Tainted Grail: The Fall of Avalon	2019	3.29/5.00	https://boardgamegeek.com/boardgame/264220
