Rating	Rank	Name	Year	Weight	URL
RECOMMENDED	75	7 Wonders	2010	2.32/5.00	https://boardgamegeek.com/boardgame/68448
RECOMMENDED	101	Decrypto	2018	1.79/5.00	https://boardgamegeek.com/boardgame/225694
RECOMMENDED	104	Codenames	2015	1.28/5.00	https://boardgamegeek.com/boardgame/178900
RECOMMENDED	110	Cartographers	2019	1.89/5.00	https://boardgamegeek.com/boardgame/263918
RECOMMENDED	138	Welcome To...	2018	1.82/5.00	https://boardgamegeek.com/boardgame/233867
BEST	146	Just One	2018	1.04/5.00	https://boardgamegeek.com/boardgame/254640
BEST	154	The Resistance: Avalon	2012	1.76/5.00	https://boardgamegeek.com/boardgame/128882
RECOMMENDED	177	Captain Sonar	2016	2.17/5.00	https://boardgamegeek.com/boardgame/171131
RECOMMENDED	205	Secret Hitler	2016	1.68/5.00	https://boardgamegeek.com/boardgame/188834
BEST	209	Deception: Murder in Hong Kong	2014	1.59/5.00	https://boardgamegeek.com/boardgame/156129
RECOMMENDED	214	Sushi Go Party!	2016	1.31/5.00	https://boardgamegeek.com/boardgame/192291
BEST	241	Dixit: Odyssey	2011	1.18/5.00	https://boardgamegeek.com/boardgame/92828
RECOMMENDED	276	Telestrations	2009	1.08/5.00	https://boardgamegeek.com/boardgame/46213
RECOMMENDED	286	Forgotten Waters	2020	2.11/5.00	https://boardgamegeek.com/boardgame/302723
RECOMMENDED	296	Mysterium	2015	1.91/5.00	https://boardgamegeek.com/boardgame/181304
RECOMMENDED	300	Camel Up (Second Edition)	2018	1.46/5.00	https://boardgamegeek.com/boardgame/260605
BEST	309	The Resistance	2009	1.61/5.00	https://boardgamegeek.com/boardgame/41114
RECOMMENDED	318	Monikers	2015	1.06/5.00	https://boardgamegeek.com/boardgame/156546
BEST	359	Civilization	1980	3.66/5.00	https://boardgamegeek.com/boardgame/71
RECOMMENDED	361	Codenames: Pictures	2016	1.24/5.00	https://boardgamegeek.com/boardgame/198773
RECOMMENDED	405	Wavelength	2019	1.12/5.00	https://boardgamegeek.com/boardgame/262543
RECOMMENDED	410	PitchCar	1995	1.13/5.00	https://boardgamegeek.com/boardgame/150
RECOMMENDED	434	Citadels	2000	2.05/5.00	https://boardgamegeek.com/boardgame/478
BEST	436	Shadows over Camelot	2005	2.57/5.00	https://boardgamegeek.com/boardgame/15062
RECOMMENDED	440	Citadels	2016	2.00/5.00	https://boardgamegeek.com/boardgame/205398
RECOMMENDED	454	Sidereal Confluence	2017	3.56/5.00	https://boardgamegeek.com/boardgame/202426
BEST	469	One Night Ultimate Werewolf	2014	1.38/5.00	https://boardgamegeek.com/boardgame/147949
RECOMMENDED	470	No Thanks!	2004	1.14/5.00	https://boardgamegeek.com/boardgame/12942
RECOMMENDED	475	Bohnanza	1997	1.67/5.00	https://boardgamegeek.com/boardgame/11
RECOMMENDED	484	RoboRally	1994	2.43/5.00	https://boardgamegeek.com/boardgame/18
RECOMMENDED	506	Love Letter Premium	2016	1.30/5.00	https://boardgamegeek.com/boardgame/196326
RECOMMENDED	508	7 Wonders (Second Edition)	2020	2.23/5.00	https://boardgamegeek.com/boardgame/316377
RECOMMENDED	512	Camel Up	2014	1.48/5.00	https://boardgamegeek.com/boardgame/153938
BEST	530	Struggle of Empires	2004	3.59/5.00	https://boardgamegeek.com/boardgame/9625
BEST	562	One Night Ultimate Werewolf: Daybreak	2015	1.42/5.00	https://boardgamegeek.com/boardgame/163166
BEST	563	Formula D	2008	1.97/5.00	https://boardgamegeek.com/boardgame/37904
RECOMMENDED	574	Atlantis Rising (Second Edition)	2019	2.43/5.00	https://boardgamegeek.com/boardgame/248490
RECOMMENDED	602	Between Two Castles of Mad King Ludwig	2018	2.20/5.00	https://boardgamegeek.com/boardgame/258036
RECOMMENDED	607	6 nimmt!	1994	1.20/5.00	https://boardgamegeek.com/boardgame/432
RECOMMENDED	620	Telestrations: 12 Player Party Pack	2011	1.07/5.00	https://boardgamegeek.com/boardgame/153016
BEST	624	BANG! The Dice Game	2013	1.28/5.00	https://boardgamegeek.com/boardgame/143741
RECOMMENDED	654	Between Two Cities	2015	1.82/5.00	https://boardgamegeek.com/boardgame/168435
BEST	664	Diplomacy	1959	3.35/5.00	https://boardgamegeek.com/boardgame/483
BEST	668	A Fake Artist Goes to New York	2012	1.15/5.00	https://boardgamegeek.com/boardgame/135779
BEST	670	Wits & Wagers	2005	1.21/5.00	https://boardgamegeek.com/boardgame/20100
RECOMMENDED	728	Ricochet Robots	1999	2.41/5.00	https://boardgamegeek.com/boardgame/51
RECOMMENDED	736	Not Alone	2016	1.99/5.00	https://boardgamegeek.com/boardgame/194879
RECOMMENDED	739	Spyfall	2014	1.24/5.00	https://boardgamegeek.com/boardgame/166384
RECOMMENDED	743	Tajemnicze Domostwo	2013	1.86/5.00	https://boardgamegeek.com/boardgame/113997
RECOMMENDED	754	Trails of Tucana	2019	1.25/5.00	https://boardgamegeek.com/boardgame/283864
BEST	759	Ca$h 'n Guns (Second Edition)	2014	1.25/5.00	https://boardgamegeek.com/boardgame/155362
BEST	764	Diamant	2005	1.11/5.00	https://boardgamegeek.com/boardgame/15512
RECOMMENDED	813	Thunder Alley	2014	2.39/5.00	https://boardgamegeek.com/boardgame/108906
RECOMMENDED	831	Concept	2013	1.39/5.00	https://boardgamegeek.com/boardgame/147151
BEST	843	Werewords	2017	1.16/5.00	https://boardgamegeek.com/boardgame/219215
BEST	907	Detective Club	2018	1.27/5.00	https://boardgamegeek.com/boardgame/256788
RECOMMENDED	926	When I Dream	2016	1.19/5.00	https://boardgamegeek.com/boardgame/198454
RECOMMENDED	987	Tsuro	2005	1.23/5.00	https://boardgamegeek.com/boardgame/16992
BEST	994	Shadow Hunters	2005	1.82/5.00	https://boardgamegeek.com/boardgame/24068
