Rating	Rank	Name	Year	Weight	URL
RECOMMENDED	1	Gloomhaven	2017	3.87/5.00	https://boardgamegeek.com/boardgame/174430
RECOMMENDED	4	Terraforming Mars	2016	3.25/5.00	https://boardgamegeek.com/boardgame/167791
RECOMMENDED	5	Gloomhaven: Jaws of the Lion	2020	3.58/5.00	https://boardgamegeek.com/boardgame/291457
RECOMMENDED	7	Gaia Project	2017	4.37/5.00	https://boardgamegeek.com/boardgame/220308
RECOMMENDED	11	Spirit Island	2017	4.04/5.00	https://boardgamegeek.com/boardgame/162886
RECOMMENDED	14	Scythe	2016	3.43/5.00	https://boardgamegeek.com/boardgame/169786
RECOMMENDED	16	Dune: Imperium	2020	2.98/5.00	https://boardgamegeek.com/boardgame/316554
RECOMMENDED	17	Nemesis	2018	3.40/5.00	https://boardgamegeek.com/boardgame/167355
RECOMMENDED	22	A Feast for Odin	2016	3.85/5.00	https://boardgamegeek.com/boardgame/177736
RECOMMENDED	23	Wingspan	2019	2.44/5.00	https://boardgamegeek.com/boardgame/266192
RECOMMENDED	24	Arkham Horror: The Card Game	2016	3.49/5.00	https://boardgamegeek.com/boardgame/205637
RECOMMENDED	25	Viticulture Essential Edition	2015	2.89/5.00	https://boardgamegeek.com/boardgame/183394
RECOMMENDED	28	Everdell	2018	2.81/5.00	https://boardgamegeek.com/boardgame/199792
BEST	29	Mage Knight Board Game	2011	4.33/5.00	https://boardgamegeek.com/boardgame/96848
RECOMMENDED	32	Lost Ruins of Arnak	2020	2.87/5.00	https://boardgamegeek.com/boardgame/312484
RECOMMENDED	35	Caverna: The Cave Farmers	2013	3.79/5.00	https://boardgamegeek.com/boardgame/102794
BEST	37	Marvel Champions: The Card Game	2019	2.87/5.00	https://boardgamegeek.com/boardgame/285774
RECOMMENDED	38	Too Many Bones	2017	3.85/5.00	https://boardgamegeek.com/boardgame/192135
RECOMMENDED	39	Agricola	2007	3.64/5.00	https://boardgamegeek.com/boardgame/31260
RECOMMENDED	41	Maracaibo	2019	3.89/5.00	https://boardgamegeek.com/boardgame/276025
RECOMMENDED	43	Mansions of Madness: Second Edition	2016	2.67/5.00	https://boardgamegeek.com/boardgame/205059
RECOMMENDED	44	Underwater Cities	2018	3.60/5.00	https://boardgamegeek.com/boardgame/247763
RECOMMENDED	46	Pax Pamir: Second Edition	2019	3.82/5.00	https://boardgamegeek.com/boardgame/256960
RECOMMENDED	47	Anachrony	2017	4.01/5.00	https://boardgamegeek.com/boardgame/185343
RECOMMENDED	50	Kingdom Death: Monster	2015	4.26/5.00	https://boardgamegeek.com/boardgame/55690
RECOMMENDED	51	Clans of Caledonia	2017	3.46/5.00	https://boardgamegeek.com/boardgame/216132
RECOMMENDED	52	On Mars	2020	4.65/5.00	https://boardgamegeek.com/boardgame/184267
RECOMMENDED	55	Le Havre	2008	3.73/5.00	https://boardgamegeek.com/boardgame/35677
BEST	56	The 7th Continent	2017	2.90/5.00	https://boardgamegeek.com/boardgame/180263
RECOMMENDED	58	The Gallerist	2015	4.26/5.00	https://boardgamegeek.com/boardgame/125153
RECOMMENDED	59	Lisboa	2017	4.57/5.00	https://boardgamegeek.com/boardgame/161533
RECOMMENDED	65	Aeon's End	2016	2.78/5.00	https://boardgamegeek.com/boardgame/191189
RECOMMENDED	66	Paladins of the West Kingdom	2019	3.69/5.00	https://boardgamegeek.com/boardgame/266810
RECOMMENDED	68	Fields of Arle	2014	3.87/5.00	https://boardgamegeek.com/boardgame/159675
RECOMMENDED	70	Robinson Crusoe: Adventures on the Cursed Island	2012	3.80/5.00	https://boardgamegeek.com/boardgame/121921
RECOMMENDED	71	Teotihuacan: City of Gods	2018	3.77/5.00	https://boardgamegeek.com/boardgame/229853
RECOMMENDED	76	Agricola (Revised Edition)	2016	3.50/5.00	https://boardgamegeek.com/boardgame/200680
BEST	80	Tainted Grail: The Fall of Avalon	2019	3.29/5.00	https://boardgamegeek.com/boardgame/264220
RECOMMENDED	81	Architects of the West Kingdom	2018	2.76/5.00	https://boardgamegeek.com/boardgame/236457
RECOMMENDED	89	The Lord of the Rings: Journeys in Middle-Earth	2019	2.60/5.00	https://boardgamegeek.com/boardgame/269385
RECOMMENDED	91	Eldritch Horror	2013	3.32/5.00	https://boardgamegeek.com/boardgame/146021
RECOMMENDED	93	Ark Nova	2021	3.76/5.00	https://boardgamegeek.com/boardgame/342942
RECOMMENDED	99	The Isle of Cats	2019	2.32/5.00	https://boardgamegeek.com/boardgame/281259
RECOMMENDED	108	Kanban EV	2020	4.35/5.00	https://boardgamegeek.com/boardgame/284378
RECOMMENDED	110	Pandemic	2008	2.41/5.00	https://boardgamegeek.com/boardgame/30549
RECOMMENDED	112	Cartographers	2019	1.89/5.00	https://boardgamegeek.com/boardgame/263918
RECOMMENDED	113	Pandemic: Iberia	2016	2.58/5.00	https://boardgamegeek.com/boardgame/198928
RECOMMENDED	114	Aeon's End: War Eternal	2017	2.93/5.00	https://boardgamegeek.com/boardgame/218417
RECOMMENDED	115	Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases	1982	2.67/5.00	https://boardgamegeek.com/boardgame/2511
RECOMMENDED	119	Cthulhu: Death May Die	2019	2.39/5.00	https://boardgamegeek.com/boardgame/253344
RECOMMENDED	120	PARKS	2019	2.16/5.00	https://boardgamegeek.com/boardgame/266524
RECOMMENDED	121	Vinhos Deluxe Edition	2016	4.06/5.00	https://boardgamegeek.com/boardgame/175640
RECOMMENDED	123	Cascadia	2021	1.93/5.00	https://boardgamegeek.com/boardgame/295947
RECOMMENDED	127	Legendary Encounters: An Alien Deck Building Game	2014	2.71/5.00	https://boardgamegeek.com/boardgame/146652
RECOMMENDED	133	It's a Wonderful World	2019	2.30/5.00	https://boardgamegeek.com/boardgame/271324
BEST	135	Sleeping Gods	2021	3.17/5.00	https://boardgamegeek.com/boardgame/255984
RECOMMENDED	138	Welcome To...	2018	1.82/5.00	https://boardgamegeek.com/boardgame/233867
RECOMMENDED	140	That's Pretty Clever!	2018	1.89/5.00	https://boardgamegeek.com/boardgame/244522
RECOMMENDED	143	The Lord of the Rings: The Card Game	2011	3.19/5.00	https://boardgamegeek.com/boardgame/77423
RECOMMENDED	157	Horrified	2019	2.03/5.00	https://boardgamegeek.com/boardgame/282524
RECOMMENDED	160	Obsession	2018	3.16/5.00	https://boardgamegeek.com/boardgame/231733
RECOMMENDED	161	Ora et Labora	2011	3.89/5.00	https://boardgamegeek.com/boardgame/70149
RECOMMENDED	162	Dinosaur Island	2017	3.04/5.00	https://boardgamegeek.com/boardgame/221194
RECOMMENDED	163	Viscounts of the West Kingdom	2020	3.44/5.00	https://boardgamegeek.com/boardgame/296151
RECOMMENDED	166	Sagrada	2017	1.93/5.00	https://boardgamegeek.com/boardgame/199561
BEST	168	This War of Mine: The Board Game	2017	3.29/5.00	https://boardgamegeek.com/boardgame/188920
RECOMMENDED	169	Praga Caput Regni	2020	3.73/5.00	https://boardgamegeek.com/boardgame/308765
RECOMMENDED	172	Suburbia	2012	2.77/5.00	https://boardgamegeek.com/boardgame/123260
RECOMMENDED	175	The Search for Planet X	2020	2.32/5.00	https://boardgamegeek.com/boardgame/279537
RECOMMENDED	176	Calico	2020	2.20/5.00	https://boardgamegeek.com/boardgame/283155
RECOMMENDED	181	Nations	2013	3.54/5.00	https://boardgamegeek.com/boardgame/126042
RECOMMENDED	186	Chronicles of Crime	2018	2.07/5.00	https://boardgamegeek.com/boardgame/239188
RECOMMENDED	191	La Granja	2014	3.58/5.00	https://boardgamegeek.com/boardgame/146886
RECOMMENDED	201	Legendary: A Marvel Deck Building Game	2012	2.44/5.00	https://boardgamegeek.com/boardgame/129437
RECOMMENDED	203	Zombicide: Black Plague	2015	2.50/5.00	https://boardgamegeek.com/boardgame/176189
BEST	207	Under Falling Skies	2020	2.45/5.00	https://boardgamegeek.com/boardgame/306735
RECOMMENDED	208	Roll Player	2016	2.41/5.00	https://boardgamegeek.com/boardgame/169426
RECOMMENDED	215	MicroMacro: Crime City	2020	1.12/5.00	https://boardgamegeek.com/boardgame/318977
RECOMMENDED	225	Dwellings of Eldervale	2020	3.23/5.00	https://boardgamegeek.com/boardgame/271055
RECOMMENDED	231	Lewis & Clark: The Expedition	2013	3.34/5.00	https://boardgamegeek.com/boardgame/140620
RECOMMENDED	232	Aeon's End: Legacy	2019	2.84/5.00	https://boardgamegeek.com/boardgame/241451
RECOMMENDED	238	Too Many Bones: Undertow	2018	4.03/5.00	https://boardgamegeek.com/boardgame/235802
RECOMMENDED	245	Star Wars: Outer Rim	2019	2.49/5.00	https://boardgamegeek.com/boardgame/271896
RECOMMENDED	247	Tapestry	2019	2.90/5.00	https://boardgamegeek.com/boardgame/286096
RECOMMENDED	248	Terraforming Mars: Ares Expedition	2021	2.91/5.00	https://boardgamegeek.com/boardgame/328871
RECOMMENDED	253	The Manhattan Project: Energy Empire	2016	3.04/5.00	https://boardgamegeek.com/boardgame/176734
RECOMMENDED	256	Imperial Settlers	2014	2.77/5.00	https://boardgamegeek.com/boardgame/154203
RECOMMENDED	267	Exit: The Game – The Abandoned Cabin	2016	2.55/5.00	https://boardgamegeek.com/boardgame/203420
BEST	274	Nemo's War (Second Edition)	2017	3.17/5.00	https://boardgamegeek.com/boardgame/187617
RECOMMENDED	275	Burgle Bros.	2015	2.32/5.00	https://boardgamegeek.com/boardgame/172081
RECOMMENDED	281	Paleo	2020	2.63/5.00	https://boardgamegeek.com/boardgame/300531
RECOMMENDED	282	Glass Road	2013	2.98/5.00	https://boardgamegeek.com/boardgame/143693
RECOMMENDED	285	The Red Cathedral	2020	2.80/5.00	https://boardgamegeek.com/boardgame/227224
RECOMMENDED	288	Tiny Epic Galaxies	2015	2.15/5.00	https://boardgamegeek.com/boardgame/163967
RECOMMENDED	297	Arkham Horror (Third Edition)	2018	3.32/5.00	https://boardgamegeek.com/boardgame/257499
RECOMMENDED	304	Hallertau	2020	3.29/5.00	https://boardgamegeek.com/boardgame/300322
RECOMMENDED	310	Ghost Stories	2008	2.90/5.00	https://boardgamegeek.com/boardgame/37046
RECOMMENDED	320	51st State: Master Set	2016	2.91/5.00	https://boardgamegeek.com/boardgame/192458
RECOMMENDED	322	Star Realms: Frontiers	2018	1.87/5.00	https://boardgamegeek.com/boardgame/230253
RECOMMENDED	328	Tekhenu: Obelisk of the Sun	2020	4.09/5.00	https://boardgamegeek.com/boardgame/297030
RECOMMENDED	330	At the Gates of Loyang	2009	3.13/5.00	https://boardgamegeek.com/boardgame/39683
BEST	332	Nusfjord	2017	2.87/5.00	https://boardgamegeek.com/boardgame/234277
RECOMMENDED	333	Gùgōng	2018	3.10/5.00	https://boardgamegeek.com/boardgame/250458
RECOMMENDED	341	Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures	2016	2.20/5.00	https://boardgamegeek.com/boardgame/204305
RECOMMENDED	342	Tiny Towns	2019	2.07/5.00	https://boardgamegeek.com/boardgame/265736
BEST	347	Sword & Sorcery	2017	4.06/5.00	https://boardgamegeek.com/boardgame/170771
RECOMMENDED	350	Newton	2018	3.39/5.00	https://boardgamegeek.com/boardgame/244711
RECOMMENDED	352	Bonfire	2020	3.63/5.00	https://boardgamegeek.com/boardgame/304420
RECOMMENDED	356	Pandemic: Fall of Rome	2018	2.44/5.00	https://boardgamegeek.com/boardgame/260428
RECOMMENDED	357	Aeon's End: The New Age	2019	2.93/5.00	https://boardgamegeek.com/boardgame/270633
RECOMMENDED	364	Advanced Squad Leader	1985	4.73/5.00	https://boardgamegeek.com/boardgame/243
RECOMMENDED	366	Ginkgopolis	2012	2.92/5.00	https://boardgamegeek.com/boardgame/128271
BEST	372	Twice as Clever!	2019	2.35/5.00	https://boardgamegeek.com/boardgame/269210
RECOMMENDED	373	Mice and Mystics	2012	2.72/5.00	https://boardgamegeek.com/boardgame/124708
RECOMMENDED	374	Arkham Horror	2005	3.58/5.00	https://boardgamegeek.com/boardgame/15987
RECOMMENDED	380	Santa Maria	2017	3.05/5.00	https://boardgamegeek.com/boardgame/229220
RECOMMENDED	381	Firefly: The Game	2013	2.95/5.00	https://boardgamegeek.com/boardgame/138161
RECOMMENDED	382	Flash Point: Fire Rescue	2011	2.20/5.00	https://boardgamegeek.com/boardgame/100901
RECOMMENDED	387	Marvel United	2020	1.82/5.00	https://boardgamegeek.com/boardgame/298047
RECOMMENDED	388	Destinies	2021	1.93/5.00	https://boardgamegeek.com/boardgame/285192
RECOMMENDED	395	Imperial Settlers: Empires of the North	2019	2.82/5.00	https://boardgamegeek.com/boardgame/270844
BEST	399	Sprawlopolis	2018	1.84/5.00	https://boardgamegeek.com/boardgame/251658
RECOMMENDED	402	Pandemic: Reign of Cthulhu	2016	2.17/5.00	https://boardgamegeek.com/boardgame/192153
RECOMMENDED	407	Pandemic: The Cure	2014	2.06/5.00	https://boardgamegeek.com/boardgame/150658
RECOMMENDED	409	Commands & Colors: Napoleonics	2010	2.74/5.00	https://boardgamegeek.com/boardgame/62222
BEST	418	Hadrian's Wall	2021	3.12/5.00	https://boardgamegeek.com/boardgame/304783
RECOMMENDED	420	Shadows of Brimstone: City of the Ancients	2014	3.35/5.00	https://boardgamegeek.com/boardgame/146791
RECOMMENDED	422	Forbidden Desert	2013	2.05/5.00	https://boardgamegeek.com/boardgame/136063
RECOMMENDED	423	Exit: The Game – Dead Man on the Orient Express	2017	2.71/5.00	https://boardgamegeek.com/boardgame/226522
RECOMMENDED	427	Labyrinth: The War on Terror, 2001 – ?	2010	3.63/5.00	https://boardgamegeek.com/boardgame/62227
RECOMMENDED	428	Stuffed Fables	2018	2.41/5.00	https://boardgamegeek.com/boardgame/233312
RECOMMENDED	430	Black Orchestra	2016	2.41/5.00	https://boardgamegeek.com/boardgame/156858
RECOMMENDED	433	BattleCON: Devastation of Indines	2013	3.09/5.00	https://boardgamegeek.com/boardgame/123123
RECOMMENDED	438	Meadow	2021	2.22/5.00	https://boardgamegeek.com/boardgame/314491
RECOMMENDED	439	Fire in the Lake	2014	4.09/5.00	https://boardgamegeek.com/boardgame/144189
BEST	442	Friday	2011	2.15/5.00	https://boardgamegeek.com/boardgame/43570
RECOMMENDED	443	Freedom: The Underground Railroad	2012	2.90/5.00	https://boardgamegeek.com/boardgame/119506
RECOMMENDED	447	Legends of Andor	2012	2.76/5.00	https://boardgamegeek.com/boardgame/127398
RECOMMENDED	462	Roads & Boats	1999	4.19/5.00	https://boardgamegeek.com/boardgame/875
RECOMMENDED	467	Railroad Ink: Deep Blue Edition	2018	1.48/5.00	https://boardgamegeek.com/boardgame/245654
RECOMMENDED	468	Escape Plan	2019	3.68/5.00	https://boardgamegeek.com/boardgame/142379
RECOMMENDED	480	Blackout: Hong Kong	2018	3.48/5.00	https://boardgamegeek.com/boardgame/262215
BEST	481	Cloudspire	2019	4.29/5.00	https://boardgamegeek.com/boardgame/262211
RECOMMENDED	486	Runebound (Third Edition)	2015	2.70/5.00	https://boardgamegeek.com/boardgame/181530
RECOMMENDED	492	Raiders of Scythia	2020	2.66/5.00	https://boardgamegeek.com/boardgame/301880
