Rating	Rank	Name	Year	Weight	URL
RECOMMENDED	1	Gloomhaven	2017	3.87/5.00	https://boardgamegeek.com/boardgame/174430
RECOMMENDED	2	Pandemic Legacy: Season 1	2015	2.83/5.00	https://boardgamegeek.com/boardgame/161936
RECOMMENDED	3	Brass: Birmingham	2018	3.90/5.00	https://boardgamegeek.com/boardgame/224517
RECOMMENDED	4	Terraforming Mars	2016	3.25/5.00	https://boardgamegeek.com/boardgame/167791
BEST	5	Gloomhaven: Jaws of the Lion	2020	3.58/5.00	https://boardgamegeek.com/boardgame/291457
RECOMMENDED	7	Gaia Project	2017	4.37/5.00	https://boardgamegeek.com/boardgame/220308
BEST	8	Star Wars: Rebellion	2016	3.73/5.00	https://boardgamegeek.com/boardgame/187645
BEST	9	Spirit Island	2017	4.04/5.00	https://boardgamegeek.com/boardgame/162886
RECOMMENDED	10	Through the Ages: A New Story of Civilization	2015	4.41/5.00	https://boardgamegeek.com/boardgame/182028
BEST	11	War of the Ring: Second Edition	2012	4.18/5.00	https://boardgamegeek.com/boardgame/115746
RECOMMENDED	12	Great Western Trail	2016	3.71/5.00	https://boardgamegeek.com/boardgame/193738
BEST	13	Twilight Struggle	2005	3.60/5.00	https://boardgamegeek.com/boardgame/12333
RECOMMENDED	14	Scythe	2016	3.43/5.00	https://boardgamegeek.com/boardgame/169786
RECOMMENDED	15	Dune: Imperium	2020	2.98/5.00	https://boardgamegeek.com/boardgame/316554
BEST	16	The Castles of Burgundy	2011	3.00/5.00	https://boardgamegeek.com/boardgame/84876
RECOMMENDED	17	Nemesis	2018	3.40/5.00	https://boardgamegeek.com/boardgame/167355
BEST	18	7 Wonders Duel	2015	2.23/5.00	https://boardgamegeek.com/boardgame/173346
RECOMMENDED	19	Concordia	2013	3.01/5.00	https://boardgamegeek.com/boardgame/124361
RECOMMENDED	20	Brass: Lancashire	2007	3.86/5.00	https://boardgamegeek.com/boardgame/28720
RECOMMENDED	22	A Feast for Odin	2016	3.85/5.00	https://boardgamegeek.com/boardgame/177736
RECOMMENDED	23	Wingspan	2019	2.44/5.00	https://boardgamegeek.com/boardgame/266192
BEST	24	Arkham Horror: The Card Game	2016	3.49/5.00	https://boardgamegeek.com/boardgame/205637
RECOMMENDED	25	Viticulture Essential Edition	2015	2.89/5.00	https://boardgamegeek.com/boardgame/183394
RECOMMENDED	27	Everdell	2018	2.81/5.00	https://boardgamegeek.com/boardgame/199792
RECOMMENDED	28	Orléans	2014	3.04/5.00	https://boardgamegeek.com/boardgame/164928
BEST	29	Mage Knight Board Game	2011	4.33/5.00	https://boardgamegeek.com/boardgame/96848
RECOMMENDED	30	Clank!: Legacy – Acquisitions Incorporated	2019	2.69/5.00	https://boardgamegeek.com/boardgame/266507
RECOMMENDED	31	Lost Ruins of Arnak	2020	2.87/5.00	https://boardgamegeek.com/boardgame/312484
RECOMMENDED	32	Eclipse: Second Dawn for the Galaxy	2020	3.57/5.00	https://boardgamegeek.com/boardgame/246900
RECOMMENDED	33	Food Chain Magnate	2015	4.20/5.00	https://boardgamegeek.com/boardgame/175914
RECOMMENDED	35	Caverna: The Cave Farmers	2013	3.79/5.00	https://boardgamegeek.com/boardgame/102794
BEST	37	Marvel Champions: The Card Game	2019	2.87/5.00	https://boardgamegeek.com/boardgame/285774
RECOMMENDED	38	Too Many Bones	2017	3.85/5.00	https://boardgamegeek.com/boardgame/192135
RECOMMENDED	39	Agricola	2007	3.64/5.00	https://boardgamegeek.com/boardgame/31260
RECOMMENDED	40	Barrage	2019	4.06/5.00	https://boardgamegeek.com/boardgame/251247
RECOMMENDED	41	Maracaibo	2019	3.89/5.00	https://boardgamegeek.com/boardgame/276025
RECOMMENDED	42	Pandemic Legacy: Season 2	2017	3.24/5.00	https://boardgamegeek.com/boardgame/221107
RECOMMENDED	43	Mansions of Madness: Second Edition	2016	2.67/5.00	https://boardgamegeek.com/boardgame/205059
BEST	44	Underwater Cities	2018	3.60/5.00	https://boardgamegeek.com/boardgame/247763
RECOMMENDED	46	Pax Pamir: Second Edition	2019	3.82/5.00	https://boardgamegeek.com/boardgame/256960
RECOMMENDED	47	Anachrony	2017	4.01/5.00	https://boardgamegeek.com/boardgame/185343
RECOMMENDED	48	Tzolk'in: The Mayan Calendar	2012	3.67/5.00	https://boardgamegeek.com/boardgame/126163
RECOMMENDED	50	Kingdom Death: Monster	2015	4.26/5.00	https://boardgamegeek.com/boardgame/55690
RECOMMENDED	51	Clans of Caledonia	2017	3.46/5.00	https://boardgamegeek.com/boardgame/216132
BEST	52	Star Wars: Imperial Assault	2014	3.30/5.00	https://boardgamegeek.com/boardgame/164153
RECOMMENDED	53	Mechs vs. Minions	2016	2.42/5.00	https://boardgamegeek.com/boardgame/209010
RECOMMENDED	54	On Mars	2020	4.65/5.00	https://boardgamegeek.com/boardgame/184267
RECOMMENDED	55	Le Havre	2008	3.73/5.00	https://boardgamegeek.com/boardgame/35677
BEST	56	The 7th Continent	2017	2.90/5.00	https://boardgamegeek.com/boardgame/180263
RECOMMENDED	57	The Quacks of Quedlinburg	2018	1.95/5.00	https://boardgamegeek.com/boardgame/244521
RECOMMENDED	58	The Gallerist	2015	4.26/5.00	https://boardgamegeek.com/boardgame/125153
RECOMMENDED	59	Lisboa	2017	4.57/5.00	https://boardgamegeek.com/boardgame/161533
BEST	60	Crokinole	1876	1.25/5.00	https://boardgamegeek.com/boardgame/521
BEST	61	Azul	2017	1.76/5.00	https://boardgamegeek.com/boardgame/230802
